episode,reward,avg_loss,loss_std,reward_std,win,lose,length,max_q,min_q,mean_q,epsilon
1,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,1.0
2,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,1.0
3,18.2,0.0,0.0,0.0,0,1,3,0.06905655,-0.05169181,-0.006473892,0.999934
4,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.999868
5,17.299999999999997,0.0,0.0,0.0,0,1,4,0.06905655,-0.050393086,-0.00622985,0.999802
6,18.2,0.0,0.0,0.0,0,1,3,0.06905655,-0.050393086,-0.006170594,0.999736
7,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.99967
8,6.3999999999999995,0.0,0.0,0.0,0,1,5,0.06924798,-0.05169181,-0.0060797487,0.999604
9,7.299999999999999,0.0,0.0,0.0,0,1,4,0.06924798,-0.05169181,-0.006102654,0.999538
10,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.999472
11,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.999406
12,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.05169181,-0.006327761,0.99934
13,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.999274
14,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.999208
15,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.999142
16,18.2,0.0,0.0,0.0,0,1,3,0.06905655,-0.05169181,-0.006473892,0.999076
17,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.99901
18,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.998944
19,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.998878
20,8.2,0.0,0.0,0.0,0,1,3,0.06905655,-0.050393086,-0.0062493575,0.998812
21,17.299999999999997,0.0,0.0,0.0,0,1,4,0.06905655,-0.05169181,-0.006536089,0.998746
22,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.05169181,-0.006327761,0.99868
23,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.998614
24,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.998548
25,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.998482
26,-0.9,0.0,0.0,0.0,0,1,2,0.06905655,-0.048809938,-0.005932839,0.998416
27,9.1,0.0,0.0,0.0,0,1,2,0.06905655,-0.050393086,-0.0061702277,0.99835
28,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.998284
29,0,0.0,0.0,0.0,0,1,1,0.06905655,-0.048809938,-0.0059328396,0.998218
30,17.299999999999997,27.000251134236652,0.6151441474039204,0.0,0,1,4,0.06905655,-0.050393086,-0.0045789084,0.998152
31,0,25.186290740966797,0.0,0.0,0,1,1,0.06297045,-0.03618493,0.00017903373,0.998086
32,0,26.464282989501953,0.0,0.0,0,1,1,0.061520677,-0.03447081,0.002057682,0.99802
33,0,25.13109588623047,0.0,0.0,0,1,1,0.0602948,-0.03270991,0.0039902725,0.997954
34,7.299999999999999,27.66710376739502,0.91640249406306,0.0,0,1,4,0.05887452,-0.030712977,0.008994642,0.997888
35,15.499999999999998,25.834304491678875,1.6802263805733533,0.0,0,1,6,0.06383802,-0.02130611,0.019760294,0.997822
36,0,24.514482498168945,0.0,0.0,0,1,1,0.07045716,-0.010539267,0.028738966,0.997756
37,0,20.67037010192871,0.0,0.0,0,1,1,0.075911835,-0.009025343,0.031404562,0.99769
38,0,19.3933162689209,0.0,0.0,0,1,1,0.0815014,-0.007377241,0.03411759,0.997624
39,9.1,22.49967098236084,1.909794807434082,0.0,0,1,2,0.09476426,-0.0063279048,0.037379794,0.997558
40,-0.9,23.026877403259277,0.024712562561035156,0.0,0,1,2,0.10684381,-0.002358254,0.04436583,0.997492
41,0,24.221311569213867,0.0,0.0,0,1,1,0.11464189,-0.002176478,0.049139857,0.997426
42,8.2,24.121793111165363,2.0670551354262554,0.0,0,1,3,0.14221412,-0.0059634694,0.054421246,0.99736
43,0,26.530611038208008,0.0,0.0,0,1,1,0.15019138,-0.005296908,0.06346755,0.997294
44,0,16.462291717529297,0.0,0.0,0,1,1,0.16019544,-0.0062339855,0.06749262,0.997228
45,18.2,23.382617950439453,1.1486489398521404,0.0,0,1,3,0.18763143,-0.010152413,0.07414284,0.997162
46,-0.9,19.912353515625,1.1663742065429688,0.0,0,1,2,0.22210778,-0.012673946,0.08761035,0.997096
47,18.2,25.894288380940754,0.924880329227351,0.0,0,1,3,0.2644843,-0.015528314,0.10041707,0.99703
48,9.1,22.0816593170166,0.08806419372558594,0.0,0,1,2,0.301333,-0.018745787,0.117166,0.996964
49,18.2,20.919659932454426,3.148838028490135,0.0,0,1,3,0.3681373,-0.027768472,0.13466905,0.996898
50,9.1,21.999571800231934,2.9596242904663086,0.0,0,1,2,0.42715716,-0.040449522,0.15631616,0.996832
51,18.2,25.02829933166504,3.0747355946086334,0.0,0,1,3,0.50812787,-0.052594524,0.18187363,0.996766
52,6.399999999999999,24.719358062744142,3.4394612915990708,0.0,0,1,5,0.7011983,-0.09282825,0.2315537,0.9967
53,0,24.159860610961914,0.0,0.0,0,1,1,0.75416726,-0.10062146,0.28093132,0.996634
54,0,27.027198791503906,0.0,0.0,0,1,1,0.8027294,-0.110138744,0.29876697,0.996568
55,0,22.574583053588867,0.0,0.0,0,1,1,0.8548715,-0.120096795,0.3180322,0.996502
56,0,19.245943069458008,0.0,0.0,0,1,1,0.9095223,-0.13088128,0.33847818,0.996436
57,-0.9,21.37645721435547,1.7982330322265625,0.0,0,1,2,1.0272781,-0.15538469,0.37114134,0.99637
58,17.299999999999997,20.977877140045166,1.2325635559947288,0.0,0,1,4,1.2688373,-0.21424358,0.44105178,0.996304
59,0,16.999622344970703,0.0,0.0,0,1,1,1.372325,-0.23668665,0.51447284,0.996238
60,9.1,20.159308433532715,0.5542688369750977,0.0,0,1,2,1.5241866,-0.273636,0.55864537,0.996172
61,0,18.038604736328125,0.0,0.0,0,1,1,1.6358618,-0.30055013,0.612177,0.996106
62,0,15.469544410705566,0.0,0.0,0,1,1,1.739529,-0.32569513,0.64767975,0.99604
63,0,16.95328712463379,0.0,0.0,0,1,1,1.8467852,-0.3522447,0.6844986,0.995974
64,8.2,16.83266766866048,0.8814673533866485,0.0,0,1,3,2.1937006,-0.44239005,0.7597338,0.995908
65,0,15.165504455566406,0.0,0.0,0,1,1,2.337285,-0.47885728,0.84711516,0.995842
66,0,13.69326400756836,0.0,0.0,0,1,1,2.475833,-0.51517284,0.8918942,0.995776
67,9.1,12.429476737976074,2.3151445388793945,0.0,0,1,2,2.7458415,-0.58595103,0.95689696,0.99571
68,9.1,13.06060791015625,1.7827281951904297,0.0,0,1,2,3.0398564,-0.67337406,1.0519198,0.995644
69,-0.9,9.610921859741211,0.06605339050292969,0.0,0,1,2,3.4085212,-0.7665775,1.1624453,0.995578
70,0,10.721757888793945,0.0,0.0,0,1,1,3.5787892,-0.81402767,1.2419559,0.995512
71,0,9.626923561096191,0.0,0.0,0,1,1,3.7537339,-0.8629539,1.2980082,0.995446
72,0,9.887660026550293,0.0,0.0,0,1,1,3.93441,-0.91235656,1.3561035,0.99538
73,0,10.165950775146484,0.0,0.0,0,1,1,4.1227126,-0.9630213,1.4156592,0.995314
74,-0.9,8.411988258361816,0.07181358337402344,0.0,0,1,2,4.5198827,-1.0623674,1.5102152,0.995248
75,0,6.957636833190918,0.0,0.0,0,1,1,4.7267866,-1.1101686,1.608958,0.995182
76,5.499999999999998,6.067203919092814,1.2161417355901154,0.0,0,1,6,6.0115776,-1.3504708,1.8448983,0.995116
77,0,4.551747798919678,0.0,0.0,0,1,1,6.256332,-1.3794479,2.1154227,0.99505
78,9.1,4.209166526794434,0.4166736602783203,0.0,0,1,2,6.626265,-1.4005289,2.229366,0.994984
79,0,3.6515636444091797,0.0,0.0,0,1,1,6.9116845,-1.4163677,2.369482,0.994918
80,-0.9,7.064103364944458,0.367293119430542,0.0,0,1,2,7.30314,-1.4182664,2.4994643,0.994852
81,17.299999999999997,5.401352345943451,1.5878964800007178,0.0,0,1,4,7.6772494,-1.4012992,2.6925378,0.994786
82,17.3,4.802179574966431,0.6620131688716195,0.0,0,1,4,7.870663,-1.2936674,2.872081,0.99472
83,0,2.5182673931121826,0.0,0.0,0,1,1,7.9927197,-1.1244513,2.9658892,0.994654
84,-0.9,2.295154243707657,1.8847797811031342,0.0,0,1,2,8.129337,-1.0799971,3.0002427,0.994588
85,7.299999999999999,4.751794189214706,1.8491874822353027,0.0,0,1,4,8.231559,-0.99322665,3.0472553,0.994522
86,17.3,5.976602256298065,1.9197781131161344,0.0,0,1,4,8.2711525,-0.8558221,3.03919,0.994456
87,0,4.634066104888916,0.0,0.0,0,1,1,8.076235,-0.7542761,3.0295274,0.99439
88,9.1,5.317481756210327,1.2474429607391357,0.0,0,1,2,8.012923,-0.7359151,2.9833252,0.994324
89,0,5.405022621154785,0.0,0.0,0,1,1,7.8909993,-0.7083619,2.957295,0.994258
90,0,4.720030307769775,0.0,0.0,0,1,1,7.836,-0.70083773,2.9303367,0.994192
91,8.2,5.551702260971069,1.9866555920889508,0.0,0,1,3,7.784713,-0.6964747,2.8568807,0.994126
92,0,5.282736301422119,0.0,0.0,0,1,1,7.629561,-0.705984,2.819616,0.99406
93,9.1,5.902211904525757,0.2165067195892334,0.0,0,1,2,7.5885515,-0.7090284,2.7633123,0.993994
94,0,6.678199291229248,0.0,0.0,0,1,1,7.519333,-0.72333205,2.7466784,0.993928
